==> ../CT10/000/ci0049.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  2.000  2.000	   6.936e-02    6.269e-02  6.936e-02  6.269e-02
==> ../CT10/000/ci0846.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   7.885e-02    4.678e-02  7.885e-02  4.678e-02
  1.000  0.500	   7.460e-02    5.056e-02  7.460e-02  5.056e-02
  2.000  0.500	   7.097e-02    5.302e-02  7.097e-02  5.302e-02
  0.500  1.000	   7.113e-02    4.905e-02  7.113e-02  4.905e-02
  1.000  1.000	   6.731e-02    5.156e-02  6.731e-02  5.156e-02
  2.000  1.000	   6.403e-02    5.311e-02  6.403e-02  5.311e-02
  0.500  2.000	   6.470e-02    5.150e-02  6.470e-02  5.150e-02
  1.000  2.000	   6.123e-02    5.289e-02  6.123e-02  5.289e-02
  2.000  2.000	   5.822e-02    5.361e-02  5.822e-02  5.361e-02
==> ../CT10/000/ci0905.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   6.582e-02    3.999e-02  6.582e-02  3.999e-02
  1.000  0.500	   6.244e-02    4.292e-02  6.244e-02  4.292e-02
  2.000  0.500	   5.954e-02    4.487e-02  5.954e-02  4.487e-02
  0.500  1.000	   5.924e-02    4.222e-02  5.924e-02  4.222e-02
  1.000  1.000	   5.619e-02    4.409e-02  5.619e-02  4.409e-02
  2.000  1.000	   5.359e-02    4.522e-02  5.359e-02  4.522e-02
  0.500  2.000	   5.361e-02    4.395e-02  5.361e-02  4.395e-02
  1.000  2.000	   5.086e-02    4.494e-02  5.086e-02  4.494e-02
  2.000  2.000	   4.849e-02    4.539e-02  4.849e-02  4.539e-02
==> ../CT10/000/ci0967.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   5.432e-02    3.370e-02  5.432e-02  3.370e-02
  1.000  0.500	   5.164e-02    3.598e-02  5.164e-02  3.598e-02
  2.000  0.500	   4.937e-02    3.748e-02  4.937e-02  3.748e-02
  0.500  1.000	   4.858e-02    3.549e-02  4.858e-02  3.549e-02
  1.000  1.000	   4.620e-02    3.689e-02  4.620e-02  3.689e-02
  2.000  1.000	   4.415e-02    3.771e-02  4.415e-02  3.771e-02
  0.500  2.000	   4.380e-02    3.700e-02  4.380e-02  3.700e-02
  1.000  2.000	   4.165e-02    3.766e-02  4.165e-02  3.766e-02
  2.000  2.000	   3.981e-02    3.789e-02  3.981e-02  3.789e-02
==> ../CT10/000/ci1032.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   4.483e-02    2.835e-02  4.483e-02  2.835e-02
  1.000  0.500	   4.272e-02    3.011e-02  4.272e-02  3.011e-02
  2.000  0.500	   4.093e-02    3.129e-02  4.093e-02  3.129e-02
  0.500  1.000	   3.993e-02    2.984e-02  3.993e-02  2.984e-02
  1.000  1.000	   3.806e-02    3.086e-02  3.806e-02  3.086e-02
  2.000  1.000	   3.646e-02    3.147e-02  3.646e-02  3.147e-02
  0.500  2.000	   3.583e-02    3.102e-02  3.583e-02  3.102e-02
  1.000  2.000	   3.415e-02    3.144e-02  3.415e-02  3.144e-02
  2.000  2.000	   3.272e-02    3.158e-02  3.272e-02  3.158e-02
==> ../CT10/000/ci1101.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   3.541e-02    2.278e-02  3.541e-02  2.278e-02
  1.000  0.500	   3.385e-02    2.409e-02  3.385e-02  2.409e-02
